TID: [2022-06-27 11:23:56,548]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Windows 10 10.0, amd64
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : E:\application\jdk\jdk1.8.0_111\jre
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 1.8.0_111
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : Java HotSpot(TM) 64-Bit Server VM 25.111-b14,Oracle Corporation
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : D:\wso2\wso2am-4.1.0\bin\..
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : D:\wso2\wso2am-4.1.0\bin\..\tmp
TID: [-1234] [] [2022-06-27 11:24:04,083]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : Lenovo, en-US, Asia/Bangkok
TID: [-1234] [] [2022-06-27 11:24:04,552]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [-1234] [] [2022-06-27 11:24:05,258]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [-1234] [] [2022-06-27 11:24:05,446]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} - Successfully deployed the execution manager tracker service
TID: [-1234] [] [2022-06-27 11:24:08,413]  INFO {org.wso2.carbon.apimgt.eventing.hub.internal.ServiceComponent} - Eventing Hub ServiceComponent is activated
TID: [-1234] [] [2022-06-27 11:24:09,166]  WARN {org.apache.tomcat.util.digester.Digester} - Match [Server/Service/Engine/Host/Valve] failed to set property [maxDays] to []
TID: [-1234] [] [2022-06-27 11:24:10,218]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
TID: [-1234] [] [2022-06-27 11:24:10,406]  INFO {org.wso2.carbon.databridge.receiver.binary.internal.BinaryDataReceiverServiceComponent} - Binary Data Receiver server activated
TID: [-1234] [] [2022-06-27 11:24:10,438]  INFO {org.wso2.carbon.databridge.core.internal.DataBridgeDS} - Successfully deployed Agent Server 
TID: [-1234] [] [2022-06-27 11:24:11,143]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Configured Registry in 179ms
TID: [-1234] [] [2022-06-27 11:24:11,253]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 5ms
TID: [-1234] [] [2022-06-27 11:24:11,253]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 5ms
TID: [-1234] [] [2022-06-27 11:24:11,316]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at configregistry in 0ms
TID: [-1234] [] [2022-06-27 11:24:11,316]  INFO {org.wso2.carbon.registry.core.jdbc.EmbeddedRegistryService} - Connected to mount at govregistry in 0ms
TID: [-1234] [] [2022-06-27 11:24:11,583]  INFO {org.wso2.carbon.registry.core.internal.RegistryCoreServiceComponent} - Registry Mode    : READ-WRITE
TID: [-1234] [] [2022-06-27 11:24:11,850]  INFO {org.wso2.carbon.metrics.impl.util.JmxReporterBuilder} - Creating JMX reporter for Metrics with domain 'org.wso2.carbon.metrics'
TID: [-1234] [] [2022-06-27 11:24:11,850]  INFO {org.wso2.carbon.metrics.impl.reporter.AbstractReporter} - Started JMX reporter for Metrics
TID: [-1234] [] [2022-06-27 11:24:15,804]  INFO {org.wso2.carbon.registry.indexing.solr.SolrClient} - Default Embedded Solr Server Initialized
TID: [-1234] [] [2022-06-27 11:24:16,385]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Carbon UserStoreMgtDSComponent activated successfully.
TID: [-1234] [] [2022-06-27 11:24:19,226]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [-1234] [] [2022-06-27 11:24:19,226]  INFO {org.wso2.carbon.identity.user.store.configuration.deployer.UserStoreConfigurationDeployer} - User Store Configuration Deployer initiated.
TID: [-1234] [] [2022-06-27 11:24:20,670]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WSS Sender started
TID: [-1234] [] [2022-06-27 11:24:20,670]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Initializing Pass-through HTTP/S Sender...
TID: [-1234] [] [2022-06-27 11:24:20,733]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSender} - Pass-through HTTP Sender started...
TID: [-1234] [] [2022-06-27 11:24:20,733]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Initializing Pass-through HTTP/S Sender...
TID: [-1234] [] [2022-06-27 11:24:20,733]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - customSSLProfiles configuration is loaded from path: D:\wso2\wso2am-4.1.0\repository/resources/security/sslprofiles.xml
TID: [-1234] [] [2022-06-27 11:24:20,733]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Loading custom SSL profiles for the HTTPS sender
TID: [-1234] [] [2022-06-27 11:24:20,749]  INFO {org.apache.synapse.transport.nhttp.config.ClientConnFactoryBuilder} - HTTPS Custom SSL profiles initialized for 1 servers
TID: [-1234] [] [2022-06-27 11:24:20,749]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpSSLSender} - Pass-through HTTPS Sender started...
TID: [-1234] [] [2022-06-27 11:24:20,749]  INFO {org.wso2.carbon.websocket.transport.WebsocketTransportSender} - WS Sender started
TID: [-1234] [] [2022-06-27 11:24:20,780]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpListener} - Initializing Pass-through HTTP/S Listener...
TID: [-1234] [] [2022-06-27 11:24:20,795]  INFO {org.apache.synapse.transport.passthru.PassThroughHttpMultiSSLListener} - Initializing Pass-through HTTP/S Listener...
TID: [-1234] [] [2022-06-27 11:24:20,819]  INFO {org.apache.synapse.transport.nhttp.config.ServerConnFactoryBuilder} - SSLProfile configuration is loaded from path: D:\wso2\wso2am-4.1.0\repository/resources/security/listenerprofiles.xml
TID: [-1234] [] [2022-06-27 11:24:22,397]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: I18nEmailMgtConfigService {super-tenant}
TID: [-1234] [] [2022-06-27 11:24:24,280]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: AccountCredentialMgtConfigService {super-tenant}
TID: [-1234] [] [2022-06-27 11:24:24,280]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserIdentityManagementAdminService {super-tenant}
TID: [-1234] [] [2022-06-27 11:24:24,280]  INFO {org.wso2.carbon.core.deployment.DeploymentInterceptor} - Deploying Axis2 service: UserInformationRecoveryService {super-tenant}
TID: [-1234] [] [2022-06-27 11:24:26,885]  INFO {org.wso2.carbon.core.init.CarbonServerManager} - Repository       : D:\wso2\wso2am-4.1.0\bin\../repository/deployment/server/
TID: [-1234] [] [2022-06-27 11:24:26,885]  INFO {org.wso2.carbon.event.input.adapter.kafka.internal.ds.KafkaEventAdapterServiceHolder} - Kafka input event adaptor waiting for dependent configurations to load
TID: [-1234] [] [2022-06-27 11:24:26,901]  INFO {org.wso2.carbon.andes.core.internal.ds.QueueManagerServiceDS} - Successfully created the queue manager service
TID: [-1234] [] [2022-06-27 11:24:26,901]  INFO {org.wso2.carbon.andes.core.internal.ds.SubscriptionManagerServiceDS} - Successfully created the subscription manager service
TID: [-1234] [] [2022-06-27 11:24:26,995]  INFO {org.wso2.carbon.apimgt.persistence.internal.PersistenceManagerComponent} - Activating PersistenceManagerComponent 
TID: [-1234] [] [2022-06-27 11:24:27,026]  INFO {org.wso2.carbon.core.multitenancy.eager.TenantLoadingConfig} - Using tenant lazy loading policy...
TID: [-1234] [] [2022-06-27 11:24:27,043]  INFO {org.wso2.carbon.core.internal.permission.update.PermissionUpdater} - Permission cache updated for tenant -1234
TID: [-1234] [] [2022-06-27 11:24:27,655]  WARN {org.wso2.carbon.identity.application.mgt.internal.ApplicationManagementServiceComponent} - Templates directory not found at D:\wso2\wso2am-4.1.0\bin\..\repository\resources\identity\authntemplates
TID: [-1234] [] [2022-06-27 11:24:29,360]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.common.DefaultRealm
TID: [-1234] [] [2022-06-27 11:24:29,360]  INFO {org.wso2.carbon.user.core.internal.UserStoreMgtDSComponent} - Claim manager set for class org.wso2.carbon.user.core.jdbc.UniqueIDJDBCUserStoreManager
TID: [-1234] [] [2022-06-27 11:24:29,564]  INFO {org.wso2.carbon.identity.entitlement.internal.SchemaBuilder} - XACML policy schema loaded successfully.
TID: [-1234] [] [2022-06-27 11:24:30,506]  INFO {org.wso2.carbon.identity.oauth.config.OAuthServerConfiguration} - The default OAuth token issuer will be used. No custom token generator is set.
TID: [-1234] [] [2022-06-27 11:24:32,153]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,169]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addLogMessage_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,169]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy addQueryParam_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,169]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy applyAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,169]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccAddHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,169]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccCallInterceptorService_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,185]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccChangeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,185]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy ccRemoveHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,185]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy changeHTTPMethod_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,200]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugJsonFault_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,200]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugRequestFlow_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,200]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy debugResponseFlow_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,200]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy disableChunking_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,200]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonFault_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,216]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonToXML_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,216]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy jsonValidator_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,216]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy opaPolicy_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,231]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy preserveAcceptHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,231]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy regexPolicy_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,231]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy removeHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,231]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy rewriteResourcePath_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,231]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy setToHeader_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,245]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlToJson_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,247]  INFO {org.wso2.carbon.apimgt.impl.utils.APIUtil} - Common operation policy xmlValidator_v1 was added to the organization carbon.super successfully
TID: [-1234] [] [2022-06-27 11:24:32,357]  INFO {org.wso2.carbon.apimgt.common.jms.factory.JMSConnectionFactory} - JMS ConnectionFactory : Siddhi-JMS-Consumer initialized
TID: [-1234] [] [2022-06-27 11:24:32,420]  INFO {org.wso2.carbon.apimgt.common.jms.factory.JMSConnectionFactory} - JMS ConnectionFactory : Siddhi-JMS-Consumer initialized
TID: [-1234] [] [2022-06-27 11:24:33,110]  INFO {org.wso2.carbon.identity.application.authentication.framework.store.SessionDataStore} - Thread pool size for temporary authentication context data delete task: 20
TID: [-1234] [] [2022-06-27 11:24:35,355]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Starting ESB...
TID: [-1234] [] [2022-06-27 11:24:35,386]  INFO {org.wso2.carbon.mediation.initializer.ServiceBusInitializer} - Initializing Apache Synapse...
TID: [-1234] [] [2022-06-27 11:24:35,402]  INFO {org.apache.synapse.SynapseControllerFactory} - Using Synapse home : D:\wso2\wso2am-4.1.0\.
TID: [-1234] [] [2022-06-27 11:24:35,402]  INFO {org.apache.synapse.SynapseControllerFactory} - Using synapse.xml location : D:\wso2\wso2am-4.1.0\.\.\repository\deployment\server\synapse-configs\default
TID: [-1234] [] [2022-06-27 11:24:35,402]  INFO {org.apache.synapse.SynapseControllerFactory} - Using server name : localhost
TID: [-1234] [] [2022-06-27 11:24:35,417]  INFO {org.apache.synapse.SynapseControllerFactory} - The timeout handler will run every : 15s
TID: [-1234] [] [2022-06-27 11:24:35,452]  INFO {org.apache.synapse.Axis2SynapseController} - Initializing Synapse at : Mon Jun 27 11:24:35 ICT 2022
TID: [-1234] [] [2022-06-27 11:24:35,465]  INFO {org.wso2.carbon.mediation.initializer.CarbonSynapseController} - Loading the mediation configuration from the file system
TID: [-1234] [] [2022-06-27 11:24:35,465]  INFO {org.apache.synapse.config.xml.MultiXMLConfigurationBuilder} - Building synapse configuration from the synapse artifact repository at : .\.\repository/deployment/server/synapse-configs\default
TID: [-1234] [] [2022-06-27 11:24:35,480]  INFO {org.apache.synapse.config.xml.XMLConfigurationBuilder} - Generating the Synapse configuration model by parsing the XML configuration
TID: [-1234] [] [2022-06-27 11:24:35,653]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : dispatchSeq was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,715]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : fault was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,794]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : main was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,794]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : outDispatchSeq was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,825]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : webhooksFaultSequence was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,872]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _auth_failure_handler_ was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,919]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _backend_failure_handler_ was added to the Synapse configuration successfully
TID: [-1234] [] [2022-06-27 11:24:35,935]  INFO {org.wso2.carbon.mediation.dependency.mgt.DependencyTracker} - Sequence : _api_blocked_sequence_ was added to the Synapse configuration successfully
